review_text;sentiment;clean_text
Materinya goks abis, auto paham! Instrukturnya juga asik parah, gak ngebosenin. Fix, ini mah worth it!;2.0;materi goks abis auto paham instruktur asik parah gak ngebosenin fix mah worth it
Platformnya anjay, interaktif banget, jadi gak mager belajar. Bisa diakses kapan aja, mood booster!;2.0;platform anjay interaktif banget gak mager ajar akses aja mood booster
Mentornya pro player, ngajarnya santuy tapi ngena. Ilmu daging semua, gak kaleng-kaleng!;2.0;mentor pro player ngajarnya santuy ngena ilmu daging gak kalengkaleng
Sumpah, ini kursus paling oke! Ilmunya kepake banget di dunia kerja. Gak nyesel samsek!;2.0;sumpah kursus oke ilmu kepake banget dunia kerja gak nyesel samsek
Sertifikatnya nampol buat naikin CV. Vibes belajarnya juga positif banget. Thank you, PCOL!;2.0;sertifikat nampol naikin cv vibes ajar positif banget thank you pcol
Yah, materinya B aja, kurang update gitu loh. Agak laen ekspektasi gue, hiks.;0.0;yah materi b aja update gitu loh laen ekspektasi gue hiks
Instrukturnya kurenggg, ngejelasinnya muter-muter, bikin ngantuk. Skip dulu deh.;0.0;instruktur kurenggg ngejelasinnya mutermuter bikin ngantuk skip deh
Platformnya sering nge-lag, anjir. Ganggu banget pas lagi fokus belajar. Capek deh.;0.0;platform ngelag anjir ganggu banget pas fokus ajar capek deh
Sertifikatnya zonk! Gak diakui di mana-mana. Nyesel banget ikut, mana mahal.;0.0;sertifikat zonk gak aku manamana nyesel banget mahal
Support after kursusnya mana? Dicuekin dong pertanyaan gue. Red flag nih!;0.0;support after kursus dicuekin gue red flag nih
Materinya standar lah ya. Gak yang gimana-gimana banget, tapi oke buat dasar.;1.0;materi standar ya gak gimanagimana banget oke dasar
Ada modul yang seru, ada yang B aja. Ya gitu deh, plus minus.;1.0;modul seru b aja ya gitu deh plus minus
Instrukturnya lumayan, tapi ada beberapa part yang bisa lebih detail lagi sih.;1.0;instruktur lumayan part detail sih
Platformnya oke lah buat operasional, jarang ada drama teknis.;1.0;platform oke operasional jarang drama teknis
Sertifikatnya dapet, tapi impact-nya belum kerasa banget. So-so aja.;1.0;sertifikat dapet impactnya rasa banget soso aja
Harganya sebanding sama ilmunya. Mantap jiwa, investasi leher ke atas!;2.0;harga banding ilmu mantap jiwa investasi leher
CS-nya ampas banget, slow respon, gak solutif. Mending cari yang lain.;0.0;csnya ampas banget slow respon gak solutif mending cari
Yaah, sesuai harga lah ya. Gak jelek-jelek amat, tapi gak wow juga.;1.0;yaah sesuai harga ya gak jelekjelek gak wow
Kualitasnya juara! Gak ada obat, keren abis!;2.0;kualitas juara gak obat keren abis
Gak sesuai deskripsi, anjir. Kecewa berat, merasa ketipu.;0.0;gak sesuai deskripsi anjir kecewa berat tipu
Gampang dipake, efektif banget. Hasilnya pecah!;2.0;gampang dipake efektif banget hasil pecah
Zonk parah! Kualitasnya jauh dari ekspektasi. Nyesel pol.;0.0;zonk parah kualitas ekspektasi nyesel pol
Ada plus minusnya sih. Gak semua modul oke, tapi ada yang ngebantu.;1.0;plus minus sih gak modul oke ngebantu
Lebih dari ekspektasi, guys! Recommended banget buat upgrade skill.;2.0;ekspektasi guys recommended banget upgrade skill
Buat basic sih oke lah. Gak terlalu mendalam, tapi cukup.;1.0;basic sih oke gak dalam
Instrukturnya GGWP, ngajarnya asik, bikin semangat. The best pokoknya!;2.0;instruktur ggwp ngajarnya asik bikin semangat the best pokok
Materinya basi banget, gak relate sama jaman now. Agak laen emang.;0.0;materi basi banget gak relate jaman now laen emang
Abis kursus dicuekin, gak ada follow up. Kecewa sih.;0.0;abis kursus dicuekin gak follow up kecewa sih
Platformnya stabil, jarang error. Lumayan lah buat belajar.;1.0;platform stabil jarang error lumayan ajar
Modulnya ada yang menarik, ada yang bikin ngantuk. Tergantung mood.;1.0;modul tarik bikin ngantuk gantung mood
Harganya oke, ilmunya dapet. Spill ke temen-temen ah!;2.0;harga oke ilmu dapet spill tementemen ah
Sertifikatnya gak jelas, gak bisa dipake. Rugi bandar!;0.0;sertifikat gak gak dipake rugi bandar
Materinya daging semua, mudah dicerna. Instrukturnya panutanque!;2.0;materi daging mudah cerna instruktur panutanque
Instrukturnya kurang interaktif, kayak ngomong sendiri. Bikin boring.;0.0;instruktur interaktif kayak ngomong bikin boring
Ini sih definisi upgrade skill! Ilmunya langsung kepake. Mantul!;2.0;sih definisi upgrade skill ilmu langsung kepake mantul
Sertifikatnya auto nambah value di LinkedIn. Keren!;2.0;sertifikat auto nambah value linkedin keren
Platformnya user-friendly, gak ribet. Belajar jadi fun!;2.0;platform userfriendly gak ribet ajar fun
Materinya standar, gak ada yang spesial banget. Ya lumayan buat nambah ilmu.;1.0;materi standar gak spesial banget ya lumayan nambah ilmu
CS-nya payah, responnya lama banget kayak nunggu jodoh.;0.0;csnya payah responnya banget kayak nunggu jodoh
Harganya gak sebanding sama yang didapet. Overpriced!;0.0;harga gak banding didapet overpriced
